ProblemID,Group,n,m,Replication,Seed,PoolSize,PoolBest,PoolMean,PoolSD,PoolWorst,EliteN,PoorN,TieMode,ElapsedSec,HistoricalPRAuditPass,HistoricalPRMatched,HistoricalPRChecked
Ta100_20_3,100×20,100,20,2,190702219,1000000,7185,7821.423569,144.7707436979947,8628,50000,100000,numpy_quicksort,3.72561302000031,True,10,10
Ta100_20_3,100×20,100,20,3,190703228,1000000,7231,7821.891033,144.78974337729417,8605,50000,100000,numpy_quicksort,3.4175760600001013,True,10,10
Ta100_20_3,100×20,100,20,4,190704237,1000000,7204,7821.658626,144.84605594966007,8584,50000,100000,numpy_quicksort,3.378375892999429,True,10,10
Ta100_20_3,100×20,100,20,5,190705246,1000000,7232,7821.887387,144.9647280481863,8621,50000,100000,numpy_quicksort,3.5964342449997275,True,10,10
Ta100_20_4,100×20,100,20,1,190801210,1000000,7216,7822.780201,152.8608429580215,8654,50000,100000,numpy_quicksort,3.4186704310004643,True,10,10
Ta100_20_4,100×20,100,20,2,190802219,1000000,7216,7823.007862,152.57559764753324,8706,50000,100000,numpy_quicksort,3.449607492000723,True,10,10
Ta100_20_4,100×20,100,20,3,190803228,1000000,7202,7823.09283,152.72430399024293,8687,50000,100000,numpy_quicksort,3.237458980000156,True,10,10
Ta100_20_4,100×20,100,20,4,190804237,1000000,7176,7822.994732,152.7098152789658,8630,50000,100000,numpy_quicksort,4.000465924999844,True,10,10
Ta100_20_4,100×20,100,20,5,190805246,1000000,7206,7823.040824,152.78777001940858,8708,50000,100000,numpy_quicksort,4.290943938000055,True,10,10
Ta100_20_5,100×20,100,20,1,190901210,1000000,7252,7842.402003,146.07346926819537,8682,50000,100000,numpy_quicksort,4.481003691999831,True,10,10
Ta100_20_5,100×20,100,20,2,190902219,1000000,7272,7841.970737,145.9748259712155,8591,50000,100000,numpy_quicksort,3.4596936699999787,True,10,10
Ta100_20_5,100×20,100,20,3,190903228,1000000,7215,7842.256805,146.23059488895905,8644,50000,100000,numpy_quicksort,3.5784472900004403,True,10,10
Ta100_20_5,100×20,100,20,4,190904237,1000000,7232,7842.300284,145.92498839342622,8613,50000,100000,numpy_quicksort,3.5506196979995366,True,10,10
Ta100_20_5,100×20,100,20,5,190905246,1000000,7214,7842.547122,146.04912261928635,8648,50000,100000,numpy_quicksort,3.5952190969992444,True,10,10
Ta100_20_6,100×20,100,20,1,191001210,1000000,7275,7893.069127,145.63566785717578,8736,50000,100000,numpy_quicksort,4.346806578000724,True,10,10
Ta100_20_6,100×20,100,20,2,191002219,1000000,7335,7892.648367,145.37358743153183,8685,50000,100000,numpy_quicksort,3.683251589000065,True,10,10
Ta100_20_6,100×20,100,20,3,191003228,1000000,7305,7892.847385,145.3986311573246,8677,50000,100000,numpy_quicksort,3.4981886940004188,True,10,10
Ta100_20_6,100×20,100,20,4,191004237,1000000,7230,7892.830135,145.5538423910644,8670,50000,100000,numpy_quicksort,3.3769099119999737,True,10,10
Ta100_20_6,100×20,100,20,5,191005246,1000000,7294,7892.776979,145.5938702013536,8714,50000,100000,numpy_quicksort,3.172913008999785,True,10,10
Ta100_20_7,100×20,100,20,1,191101210,1000000,7318,7929.826406,154.2029512806851,8759,50000,100000,numpy_quicksort,3.4978444349999336,True,10,10
Ta100_20_7,100×20,100,20,2,191102219,1000000,7303,7929.846832,154.34362157704248,8794,50000,100000,numpy_quicksort,3.3633137070000885,True,10,10
Ta100_20_7,100×20,100,20,3,191103228,1000000,7279,7930.121549,154.2474759116804,8821,50000,100000,numpy_quicksort,3.2311163880003733,True,10,10
Ta100_20_7,100×20,100,20,4,191104237,1000000,7267,7930.203196,154.28357434544645,8803,50000,100000,numpy_quicksort,3.1942118120005034,True,10,10
Ta100_20_7,100×20,100,20,5,191105246,1000000,7285,7930.057043,154.4048492760303,8763,50000,100000,numpy_quicksort,4.170910564999758,True,10,10
Ta100_20_8,100×20,100,20,1,191201210,1000000,7389,7973.505081,145.2358430196676,8821,50000,100000,numpy_quicksort,4.1878416250001465,True,10,10
Ta100_20_8,100×20,100,20,2,191202219,1000000,7398,7973.364014,145.1680161108524,8822,50000,100000,numpy_quicksort,3.668796633000056,True,10,10
Ta100_20_8,100×20,100,20,3,191203228,1000000,7397,7973.570902,145.2009255487553,8750,50000,100000,numpy_quicksort,3.696522960999573,True,10,10
Ta100_20_8,100×20,100,20,4,191204237,1000000,7390,7973.605392,145.23374401070413,8734,50000,100000,numpy_quicksort,3.5293433650003863,True,10,10
Ta100_20_8,100×20,100,20,5,191205246,1000000,7391,7973.356825,145.02796338647778,8751,50000,100000,numpy_quicksort,3.418910850999964,True,10,10
Ta100_20_9,100×20,100,20,1,191301210,1000000,7284,7864.672021,148.28001256318294,8669,50000,100000,numpy_quicksort,4.469589477000227,True,10,10
Ta100_20_9,100×20,100,20,2,191302219,1000000,7215,7864.185085,148.130034527269,8719,50000,100000,numpy_quicksort,3.592066760999842,True,10,10
Ta100_20_9,100×20,100,20,3,191303228,1000000,7254,7864.363453,147.94738998490982,8712,50000,100000,numpy_quicksort,3.4138425139999526,True,10,10
Ta100_20_9,100×20,100,20,4,191304237,1000000,7281,7864.52756,148.1368061386492,8672,50000,100000,numpy_quicksort,3.308526153999992,True,10,10
Ta100_20_9,100×20,100,20,5,191305246,1000000,7270,7864.623634,148.0232845991698,8735,50000,100000,numpy_quicksort,3.364451253999505,True,10,10
Ta100_20_10,100×20,100,20,1,191401210,1000000,7342,7972.806502,152.92309583577372,8867,50000,100000,numpy_quicksort,4.413336825000442,True,10,10
Ta100_20_10,100×20,100,20,2,191402219,1000000,7340,7972.374495,152.82691463404217,8798,50000,100000,numpy_quicksort,3.626066476999768,True,10,10
